Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Fowler Bed,As per specification,28,Number,Sajat@13,20
2,Bedside Locker,As per specification,28,Number,Sajat@13,20
3,Overbed Table,As per specification,28,Number,Sajat@13,20
4,Attendant Stool,As per specification,28,Number,Sajat@13,20
5,Foot Step,As per specification,28,Number,Sajat@13,20
6,Outdoor Video Wall,As per specification,1,set,Sajat@13,20
7,Video Controller,As per specification,1,set,Sajat@13,20
8,CMS Software,As per specification,1,set,Sajat@13,20
9,Unipole with Civil work and structure frame,As per specification,1,set,Sajat@13,20
10,Cable Connector and Installation,As per specification,1,set,Sajat@13,20
11,Gammow HAPO bags,As per specification,14,Number,Sajat@13,20
