Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Parallel Rope bridge ,Thikness of iron pipe 4inch and 13ft langth required and naylon 78 mm heavy lode ,1,Job,karanchahal,15
2,W Wall ,Brick and cemented W Wall and High of eaxh structure is 06ft and 10 Kg lime for white wash ,1,Job,karanchahal,15
3,Single Step Up,04 Inch pipe required and 10 ft lenth 04 pipe and 2x2 ft cement base.,1,Job,karanchahal,15
4,Crawl Fence,Barbed wire 200 Mtr and small angle iron picket ,1,Job,karanchahal,15
5,Two Vertical ropes on raised platform,Gadder pole 02 15 ft and rope 32 ft and center pole 04 inch 06 mtr required ,1,Job,karanchahal,15
6,Parallel three rope bridge ,pole 04 Mtr and cement base 2x2 ft and rope 60 mtr abd with iron pillar support at both ends,1,Job,karanchahal,15
7,Step up,"4 inch pipe, cement base ",1,Job,karanchahal,15
8,Gate vault  havy duty iron firm,two cement piller with iron starchter and heavy duty ,1,Job,karanchahal,15
9,Steeping Stone,Cement pillar with height and width of 1.5 and 1.5 ft ,1,Job,karanchahal,15
10,Ramp,02 iron polw with height of 15 ft ,1,Job,karanchahal,15
11,High step over of 11 frames,02 iron pole with lebgth of 20ft ,1,Job,karanchahal,15
12,Hand walk with iron stand,25 ft length required ,1,Job,karanchahal,15
13,Smoke Chamber,Height 8 ft and iron gate 6ft and 03ft required and cement ad concerte flor 3 inch,1,Job,karanchahal,15
14,Flex Boards at each obstacle ,flex boards of each obstacle ,13,Job,karanchahal,15
15,Shed at SP,shed with size of 15 ft and 25 ft ,1,Nos ,karanchahal,15
16,Balli ,seasoned hardwood and suitable for rope and obstacle load bearing ,10,Nos ,karanchahal,15
17,Jute Rope 44 MM,Natural jute and machine twisted ,20,Nos ,karanchahal,15
18,Sand Bag,20 se 25 kg load capacity,500,Nos ,karanchahal,15
19,Paint ,Synthetic enamel and weather resistant outdoor paint ,30,Ltr ,karanchahal,15
20,Gypsy Tyre ,Radial uses tyre ,30,Nos ,karanchahal,15
21,Double Tyre Wall,used Tyres and iron pole ,1,Job,karanchahal,15
22,Crawling,barbed wire and small angle picket ,1,Job,karanchahal,15
23,Scramble Net,iron pole and rope,1,Job,karanchahal,15
