Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,AVR for Generator As per Sample,AVR for Generator As per Sample,1,Nos,OICPMSE,25
2,Contactor Hundred Amp Two Twenty V for Generator As per Sample,Contactor Hundred Amp Two Twenty V for Generator As per Sample,2,Nos,OICPMSE,25
3,MCB Hundred Amp for Generator As per Sample,MCB Hundred Amp for Generator As per Sample,1,Nos,OICPMSE,25
4,Brush for Battery Operated Industrial Cleaning,Brush for Battery Operated Industrial Cleaning,2,Nos,OICPMSE,25
5,Rubber blade for Battery Operated Industrial Cleaning Machine As per Sample,Rubber blade for Battery Operated Industrial Cleaning Machine As per Sample,1,Nos,OICPMSE,25
6,Suction hose for Battery Operated Industrial Cleaning Machine As per Sample,Suction hose for Battery Operated Industrial Cleaning Machine As per Sample,1,Nos,OICPMSE,25
7,Drain Hose for Battery Operated Industrial Cleaning Machine As per Sample,Drain Hose for Battery Operated Industrial Cleaning Machine As per Sample,1,Nos,OICPMSE,25
8,Squeeze body for Battery Operated Industrial Cleaning Machine As per Sample,Squeeze body for Battery Operated Industrial Cleaning Machine As per Sample,1,Nos,OICPMSE,25
9,Knob for Battery Operated Industrial Cleaning Machine As per Sample,Knob for Battery Operated Industrial Cleaning Machine As per Sample,2,Nos,OICPMSE,25
10,Cutting Blade for Gullitone Shearing Machine As per Sample,Cutting Blade for Gullitone Shearing Machine As per Sample,1,Nos,OICPMSE,25
11,Water Pump for FLT As per Sample,Water Pump for FLT As per Sample,1,Nos,OICPMSE,25
12,Water hose pipe for FLT As per Sample,Water hose pipe for FLT As per Sample,1,Nos,OICPMSE,25
13,Fuel pipe flexible One by Two  for FLT As per Sample,Fuel pipe flexible One by Two  for FLT As per Sample,4,Nos,OICPMSE,25
14,Fuel pipe flexible One point Five for FLT As per Sample,Fuel pipe flexible One point Five for FLT As per Sample,4,Nos,OICPMSE,25
